N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
277,186.1552607,6.460348759e+10,99965375,537000,0.07224830464,186.1552607,34625
281,186.1543296,6.520337378e+10,99964875,537000,0.07329160146,186.1543296,35125
285,186.1533985,6.580325998e+10,99964375,537000,0.07433489828,186.1533985,35625
289,186.1524674,6.640314617e+10,99963875,537000,0.0753781951,186.1524674,36125
293,186.1515363,6.700303236e+10,99963375,537000,0.07642149191,186.1515363,36625
297,186.1506052,6.760291856e+10,99962875,537000,0.07746478873,186.1506052,37125
301,186.1496741,6.820280475e+10,99962375,537000,0.07850808555,186.1496741,37625
305,186.148743,6.880269094e+10,99961875,537000,0.07955138237,186.148743,38125
309,186.1478119,6.940257714e+10,99961375,537000,0.08059467919,186.1478119,38625
313,186.1468808,7.000246333e+10,99960875,537000,0.081637976,186.1468808,39125
317,186.1459497,7.060234952e+10,99960375,537000,0.08268127282,186.1459497,39625
321,186.1450186,7.120223572e+10,99959875,537000,0.08372456964,186.1450186,40125
325,186.1440875,7.180212191e+10,99959375,537000,0.08476786646,186.1440875,40625
329,186.1431564,7.24020081e+10,99958875,537000,0.08581116328,186.1431564,41125
333,186.1422253,7.30018943e+10,99958375,537000,0.08685446009,186.1422253,41625
337,186.1412942,7.360178049e+10,99957875,537000,0.08789775691,186.1412942,42125
341,186.1403631,7.420166668e+10,99957375,537000,0.08894105373,186.1403631,42625
345,186.139432,7.480155287e+10,99956875,537000,0.08998435055,186.139432,43125
349,186.1385009,7.540143907e+10,99956375,537000,0.09102764737,186.1385009,43625
353,186.1375698,7.600132526e+10,99955875,537000,0.09207094418,186.1375698,44125
357,186.1366387,7.660121145e+10,99955375,537000,0.093114241,186.1366387,44625
361,186.1357076,7.720109765e+10,99954875,537000,0.09415753782,186.1357076,45125
365,186.1347765,7.780098384e+10,99954375,537000,0.09520083464,186.1347765,45625
369,186.1338454,7.840087003e+10,99953875,537000,0.09624413146,186.1338454,46125
373,186.1329143,7.900075623e+10,99953375,537000,0.09728742827,186.1329143,46625
